Global_Member_Id__c,MemberID__c,Id
DE_4376056,4376056,0015Y00003EuBt9QAF
AT_6640663,6640663,0013900001XgvosAAB
AT_6489488,6489488,0013900001WlJlEAAV
CA_1443881,1443881,0015Y00003EtELsQAN
AT_5871160,5871160,0013900001UAfYKAA1
CA_1451478,1451478,0015Y00003EtNd9QAF
DE_6123313,6123313,0013900001V7IhnAAF
CA_55973,55973,0017000000ya5RVAAY
CA_1453389,1453389,0015Y00003EtamhQAB
CA_630580,630580,0015Y00004xIMCUQA4
CA_629318,629318,0015Y00004xIMCKQA4
UK_5250349,5250349,0015Y00004xIMBvQAO
UK_5247721,5247721,0015Y00004xIMBqQAO
UK_5241918,5241918,0015Y00004xIMBlQAO
UK_5254158,5254158,0015Y00004xIMBgQAO
UK_5248441,5248441,0015Y00004xIMBWQA4
UK_5247310,5247310,0015Y00004xIMBSQA4
UK_5247297,5247297,0015Y00004xIMBbQAO
UK_5236744,5236744,0015Y00004xIMBRQA4
CA_1038240,1038240,0011O00002OvZKqQAN
CA_1392159,1392159,0015Y00003EsP5tQAF
UK_13488413,13488413,0015Y00003EsjBHQAZ
CA_1427756,1427756,0015Y00003EsHMpQAN
CA_1443092,1443092,0015Y00003EsRZbQAN
DE_1762342,1762342,0015Y000042vXPMQA2
UK_13515369,13515369,0015Y00004qTUqpQAG
DE_13457365,13457365,0015Y00003ErXacQAF
CA_1373701,1373701,0015Y00003EsNM4QAN
DE_13488985,13488985,0015Y00003Es5tDQAR
CA_1438390,1438390,0015Y00003Es5WxQAJ
DE_13420189,13420189,0015Y00003BogLEQAZ
DE_1067723,1067723,0011O00002C0nOSQAZ
CA_1402376,1402376,0015Y000030PPCAQA4
CA_1394027,1394027,0015Y000030ON2RQAW
AU_13212626,13212626,0015Y000030P56aQAC
IE_11331033,11331033,0015Y00002mtvUMQAY
CA_1357765,1357765,0015Y00002y125YQAQ
DE_11974323,11974323,0015Y00002zBM10QAG
DK_8055311,8055311,0013900001etdjvAAA
DE_13096073,13096073,0015Y00002z9vIEQAY
DE_7585418,7585418,0013900001bzHxVAAU
UK_7427222,7427222,0013900001bMTVzAAO
CA_1333413,1333413,0015Y00002wgIplQAE
CH_13021434,13021434,0015Y00002whOUnQAM
CH_2069146,2069146,00170000012FY3EAAW
DE_1253281,1253281,0015Y00002whX5nQAE
DE_12636432,12636432,0015Y00002smBL5QAM
UK_12435346,12435346,0015Y00002mxhoYQAQ
CH_12444755,12444755,0015Y00002mxgueQAA
CA_1077904,1077904,0011O00002IDTgTQAX
DE_12258655,12258655,0015Y00002muEMfQAM
CA_198773,198773,00170000012vi7EAAQ
CA_1286694,1286694,0015Y00002gJfpfQAC
UK_12018456,12018456,0015Y00002YXSMSQA5
CH_7161282,7161282,0015Y00002YWfrbQAD
DE_1469605,1469605,0011O00002SuRmCQAV
CA_873209,873209,0011O00002QmfryQAB
CA_1154833,1154833,0011O00002Ow4SrQAJ
DE_10760377,10760377,0011O00002KZLIyQAP
DE_2002532,2002532,0011O00002KZLM7QAP
UK_9641616,9641616,0011O00002KaDt8QAF
ES_6346476,6346476,0013900001WPrWDAA1
UK_8227823,8227823,0013900001glH6jAAE
DE_998948,998948,0017000000ybYVWAA2
